,scientific_name,park_name,observations,category,conservation_status
0,Vicia benghalensis,Great Smoky Mountains National Park,68,Vascular Plant,
1,Neovison vison,Great Smoky Mountains National Park,77,Mammal,
2,Prunus subcordata,Yosemite National Park,138,Vascular Plant,
3,Abutilon theophrasti,Bryce National Park,84,Vascular Plant,
4,Githopsis specularioides,Great Smoky Mountains National Park,85,Vascular Plant,
5,Elymus virginicus var. virginicus,Yosemite National Park,112,Vascular Plant,
6,Spizella pusilla,Yellowstone National Park,228,Bird,
7,Elymus multisetus,Great Smoky Mountains National Park,39,Vascular Plant,
8,Lysimachia quadrifolia,Yosemite National Park,168,Vascular Plant,
9,Diphyscium cumberlandianum,Yellowstone National Park,250,Nonvascular Plant,
10,Ludwigia peploides ssp. glabrescens,Bryce National Park,103,Vascular Plant,
11,Cistothorus platensis,Bryce National Park,114,Bird,
12,Setaria viridis var. viridis,Bryce National Park,101,Vascular Plant,
13,Arabis davidsonii,Yellowstone National Park,279,Vascular Plant,
14,Fabronia ciliaris,Great Smoky Mountains National Park,72,Nonvascular Plant,
15,Quercus bicolor,Yosemite National Park,143,Vascular Plant,
16,Muhlenbergia rigens,Yosemite National Park,165,Vascular Plant,
17,Rubus idaeus ssp. strigosus,Yosemite National Park,150,Vascular Plant,
18,Polymnia canadensis,Great Smoky Mountains National Park,80,Vascular Plant,
19,Carduus nutans,Bryce National Park,83,Vascular Plant,
20,Ptilium crista-castrensis,Bryce National Park,109,Nonvascular Plant,
21,Larus philadelphia,Yosemite National Park,167,Bird,
22,Zizia trifoliata,Yosemite National Park,135,Vascular Plant,Species of Concern
23,Geranium thunbergii,Yosemite National Park,150,Vascular Plant,
24,Viola glabella,Yellowstone National Park,261,Vascular Plant,
25,Scaphiopus holbrookii holbrookii,Yosemite National Park,177,Amphibian,
26,Veronica cusickii,Bryce National Park,84,Vascular Plant,
27,Festuca filiformis,Great Smoky Mountains National Park,79,Vascular Plant,
28,Rosa pinetorum,Bryce National Park,96,Vascular Plant,
29,Lysimachia nummularia,Yosemite National Park,140,Vascular Plant,
30,Sclerolinon digynum,Bryce National Park,116,Vascular Plant,
31,Camissonia sierrae ssp. alticola,Bryce National Park,84,Vascular Plant,Species of Concern
32,Festuca idahoensis,Yellowstone National Park,239,Vascular Plant,
33,Doellingeria infirma,Yellowstone National Park,262,Vascular Plant,
34,Viola macloskeyi ssp. pallens,Great Smoky Mountains National Park,71,Vascular Plant,
35,Elaeagnus umbellata,Yosemite National Park,176,Vascular Plant,
36,Cornus alternifolia,Yosemite National Park,148,Vascular Plant,
37,Elaeagnus umbellata,Great Smoky Mountains National Park,85,Vascular Plant,
38,Solidago missouriensis var. missouriensis,Bryce National Park,112,Vascular Plant,
39,Silene parryi,Great Smoky Mountains National Park,68,Vascular Plant,
40,Itea virginica,Yellowstone National Park,235,Vascular Plant,
41,Ammoselinum butleri,Yellowstone National Park,283,Vascular Plant,
42,Platycladus orientalis,Great Smoky Mountains National Park,25,Vascular Plant,
43,Limnanthes alba ssp. versicolor,Yellowstone National Park,246,Vascular Plant,
44,Panicum rigidulum var. pubescens,Yosemite National Park,158,Vascular Plant,
45,Salix humilis var. humilis,Great Smoky Mountains National Park,64,Vascular Plant,
46,Hepatica nobilis,Yellowstone National Park,281,Vascular Plant,
47,Eriogonum nudum var. deductum,Bryce National Park,88,Vascular Plant,
48,Penstemon procerus,Great Smoky Mountains National Park,67,Vascular Plant,
49,Ericameria suffruticosa,Yellowstone National Park,254,Vascular Plant,
50,Chasmanthium latifolium,Yosemite National Park,152,Vascular Plant,
51,Sparganium emersum ssp. emersum,Great Smoky Mountains National Park,80,Vascular Plant,
52,Ribes rotundifolium,Yosemite National Park,147,Vascular Plant,
53,Pachysandra procumbens,Yellowstone National Park,213,Vascular Plant,
54,Blarina brevicauda,Bryce National Park,77,Mammal,
55,Polygonum viviparum,Great Smoky Mountains National Park,107,Vascular Plant,
56,Astragalus purshii var. purshii,Yosemite National Park,156,Vascular Plant,
57,Orthocarpus luteus,Great Smoky Mountains National Park,47,Vascular Plant,
58,Liparis loeselii,Yosemite National Park,157,Vascular Plant,
59,Cornus canadensis,Bryce National Park,89,Vascular Plant,
60,Arctostaphylos uva-ursi,Yosemite National Park,154,Vascular Plant,
61,Isatis tinctoria,Yosemite National Park,127,Vascular Plant,
62,Eschscholzia hypecoides,Bryce National Park,106,Vascular Plant,
63,Tofieldia glabra,Great Smoky Mountains National Park,75,Vascular Plant,Species of Concern
64,Galium pilosum var. puncticulosum,Bryce National Park,137,Vascular Plant,
65,Physaria didymocarpa var. didymocarpa,Yellowstone National Park,244,Vascular Plant,
66,Thamnophis sirtalis sirtalis,Great Smoky Mountains National Park,63,Reptile,
67,Krigia montana,Yellowstone National Park,214,Vascular Plant,
68,Sphaeralcea coccinea,Bryce National Park,108,Vascular Plant,
69,Hypentelium nigricans,Great Smoky Mountains National Park,54,Fish,
70,Cryptantha affinis,Bryce National Park,105,Vascular Plant,
71,Pellaea atropurpurea,Bryce National Park,115,Vascular Plant,
72,Platanus occidentalis,Great Smoky Mountains National Park,98,Vascular Plant,
73,Plantago rugelii,Yellowstone National Park,223,Vascular Plant,
74,Lewisia nevadensis,Bryce National Park,82,Vascular Plant,
75,Arenaria congesta var. subcongesta,Great Smoky Mountains National Park,90,Vascular Plant,
76,Calystegia sepium,Yellowstone National Park,218,Vascular Plant,
77,Carex backii,Great Smoky Mountains National Park,58,Vascular Plant,
78,Betula nigra,Bryce National Park,106,Vascular Plant,
79,Quercus,Bryce National Park,59,Vascular Plant,
80,Spiraea prunifolia,Great Smoky Mountains National Park,48,Vascular Plant,
81,Andropogon glomeratus,Bryce National Park,65,Vascular Plant,
82,Didymodon fallax var. reflexus,Yellowstone National Park,208,Nonvascular Plant,
83,Rhynchospora alba,Bryce National Park,88,Vascular Plant,
84,Accipiter cooperii,Bryce National Park,95,Bird,Species of Concern
85,Eurycea longicauda longicauda,Yosemite National Park,147,Amphibian,
86,Scleria oligantha,Great Smoky Mountains National Park,70,Vascular Plant,
87,Orthotrichum stellatum,Great Smoky Mountains National Park,71,Nonvascular Plant,
88,Rhododendron maximum,Bryce National Park,100,Vascular Plant,
89,Morus alba,Great Smoky Mountains National Park,49,Vascular Plant,
90,Sambucus racemosa var. racemosa,Great Smoky Mountains National Park,77,Vascular Plant,
91,Nemacladus interior,Bryce National Park,100,Vascular Plant,
92,Sphagnum subsecundum,Great Smoky Mountains National Park,73,Nonvascular Plant,
93,Euphagus cyanocephalus,Bryce National Park,79,Bird,
94,Eleocharis quinqueflora,Bryce National Park,106,Vascular Plant,
95,Crotalaria sagittalis,Bryce National Park,56,Vascular Plant,
96,Erechtites hieracifolia,Yosemite National Park,134,Vascular Plant,
97,Scrophularia marilandica,Bryce National Park,89,Vascular Plant,
98,Viola blanda var. blanda,Great Smoky Mountains National Park,108,Vascular Plant,
99,Hordeum murinum ssp. murinum,Yosemite National Park,115,Vascular Plant,
100,Calcarius lapponicus,Bryce National Park,91,Bird,
101,Seiurus aurocapilla,Bryce National Park,86,Bird,
102,Chelone lyonii,Yellowstone National Park,244,Vascular Plant,
