,category,scientific_name,common_names,conservation_status
0,Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,
1,Mammal,Bos bison,"American Bison, Bison",
2,Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",
3,Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",
7,Mammal,Canis latrans,Coyote,Species of Concern
9,Mammal,Canis rufus,Red Wolf,Endangered
11,Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",
12,Mammal,Vulpes vulpes,Red Fox,
13,Mammal,Felis concolor,Mountain Lion,
14,Mammal,Felis silvestris,"Wild Cat, Wildcat",
15,Mammal,Lynx rufus,Bobcat,
17,Mammal,Mephitis mephitis,Striped Skunk,
19,Mammal,Lontra canadensis,River Otter,
21,Mammal,Martes pennanti,Fisher,
22,Mammal,Mustela,Mink (Or Weasel),
23,Mammal,Mustela frenata,Long-Tailed Weasel,
24,Mammal,Mustela nivalis,Least Weasel,
28,Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,
31,Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",
33,Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern
34,Mammal,Myotis grisescens,Gray Myotis,Endangered
35,Mammal,Myotis keenii,Keen's Myotis,Species of Concern
36,Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern
38,Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened
39,Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered
40,Mammal,Nycticeius humeralis,Evening Bat,
41,Mammal,Pipistrellus subflavus,Eastern Pipistrelle,
43,Mammal,Lepus americanus,Snowshoe Hare,
44,Mammal,Sylvilagus floridanus,Eastern Cottontail,
45,Mammal,Sylvilagus obscurus,Appalachian Cottontail,
46,Mammal,Sylvilagus transitionalis,New England Cottontail,
47,Mammal,Equus caballus,"Feral Horse, Horse",
48,Mammal,Homo sapiens,"Human, Humans, Man",
50,Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,
51,Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",
52,Mammal,Microtus pennsylvanicus,Meadow Vole,
53,Mammal,Microtus pinetorum,Woodland Vole,
54,Mammal,Neotoma floridana,Eastern Woodrat,
55,Mammal,Neotoma magister,"Allegheny Woodrat, Appalachian Woodrat",
56,Mammal,Ochrotomys nuttalli,Golden Mouse,
58,Mammal,Oryzomys palustris,Marsh Rice Rat,
59,Mammal,Oryzomys palustris palustris,Marsh Rice Rat,
60,Mammal,Peromyscus gossypinus,Cotton Mouse,
61,Mammal,Peromyscus leucopus,White-Footed Mouse,
63,Mammal,Reithrodontomys humulis,Eastern Harvest Mouse,
64,Mammal,Synaptomys cooperi,Southern Bog Lemming,
65,Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,
66,Mammal,Napaeozapus insignis,Woodland Jumping Mouse,
67,Mammal,Zapus hudsonius,Meadow Jumping Mouse,
69,Mammal,Mus musculus,House Mouse,
70,Mammal,Rattus norvegicus,Norway Rat,
71,Mammal,Rattus rattus,Black Rat,
72,Mammal,Glaucomys sabrinus coloratus,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered
73,Mammal,Glaucomys volans,Southern Flying Squirrel,
74,Mammal,Marmota monax,Woodchuck,
75,Mammal,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",
76,Mammal,Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",
77,Mammal,Tamias striatus,Eastern Chipmunk,
78,Mammal,Tamiasciurus hudsonicus,Red Squirrel,
79,Mammal,Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",
80,Mammal,Cryptotis parva,Least Shrew,
82,Mammal,Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",
83,Mammal,Sorex fumeus,Smoky Shrew,
85,Mammal,Sorex longirostris,Southeastern Shrew,
87,Mammal,Condylura cristata,Star-Nosed Mole,
88,Mammal,Parascalops breweri,Hairy-Tailed Mole,
89,Mammal,Scalopus aquaticus,Eastern Mole,
90,Bird,Vermivora pinus X chrysoptera,Brewster's Warbler,
91,Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern
92,Bird,Accipiter gentilis,Northern Goshawk,
93,Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern
94,Bird,Aquila chrysaetos,Golden Eagle,Species of Concern
95,Bird,Buteo jamaicensis,Red-Tailed Hawk,
96,Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern
97,Bird,Buteo platypterus,Broad-Winged Hawk,
98,Bird,Circus cyaneus,Northern Harrier,Species of Concern
99,Bird,Elanoides forficatus,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern
100,Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery
101,Bird,Ictinia mississippiensis,Mississippi Kite,
102,Bird,Cathartes aura,Turkey Vulture,Species of Concern
103,Bird,Coragyps atratus,Black Vulture,
105,Bird,Aix sponsa,Wood Duck,
106,Bird,Anas acuta,Northern Pintail,
107,Bird,Anas americana,American Wigeon,
108,Bird,Anas clypeata,Northern Shoveler,
109,Bird,Anas crecca,Green-Winged Teal,
110,Bird,Anas discors,Blue-Winged Teal,
111,Bird,Anas platyrhynchos,Mallard,
112,Bird,Anas rubripes,American Black Duck,
113,Bird,Aythya affinis,Lesser Scaup,Species of Concern
114,Bird,Aythya americana,Redhead,
115,Bird,Aythya collaris,Ring-Necked Duck,
117,Bird,Branta canadensis,Canada Goose,
118,Bird,Bucephala albeola,Bufflehead,
119,Bird,Bucephala clangula,Common Goldeneye,
121,Bird,Histrionicus histrionicus,Harlequin Duck,
122,Bird,Lophodytes cucullatus,Hooded Merganser,
123,Bird,Melanitta deglandi,White-Winged Scoter,
124,Bird,Melanitta fusca,White-Winged Scoter,
125,Bird,Melanitta nigra,Black Scoter,
126,Bird,Mergus merganser,Common Merganser,
127,Bird,Mergus serrator,Red-Breasted Merganser,
128,Bird,Oxyura jamaicensis,Ruddy Duck,
129,Bird,Chaetura pelagica,Chimney Swift,
130,Bird,Archilochus colubris,Ruby-Throated Hummingbird,
131,Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,
132,Bird,Caprimulgus vociferus,Whip-Poor-Will,
133,Bird,Chordeiles minor,Common Nighthawk,
134,Bird,Charadrius semipalmatus,Semipalmated Plover,
135,Bird,Charadrius vociferus,Killdeer,
136,Bird,Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",
137,Bird,Chlidonias niger,Black Tern,Species of Concern
138,Bird,Larus argentatis,Herring Gull,
139,Bird,Larus atricilla,Laughing Gull,Species of Concern
140,Bird,Larus delawarensis,Ring-Billed Gull,
141,Bird,Larus philadelphia,Bonaparte's Gull,
142,Bird,Sterna fuscata,Sooty Tern,
143,Bird,Actitis macularia,Spotted Sandpiper,
144,Bird,Calidris minutilla,Least Sandpiper,
145,Bird,Calidris pusilla,Semipalmated Sandpiper,
146,Bird,Catoptrophorus semipalmatus,Willet,
147,Bird,Gallinago gallinago,Common Snipe,
148,Bird,Limnodromus griseus,Short-Billed Dowitcher,
149,Bird,Phalaropus fulicarius,Red Phalarope,
150,Bird,Phalaropus lobatus,Red-Necked Phalarope,
151,Bird,Philomachus pugnax,Ruff,
152,Bird,Scolopax minor,American Woodcock,
153,Bird,Tringa flavipes,Lesser Yellowlegs,
154,Bird,Tringa melanoleuca,Greater Yellowlegs,
155,Bird,Tringa solitaria,Solitary Sandpiper,
157,Bird,Ectopistes migratorius,Passenger Pigeon,
158,Bird,Zenaida macroura,Mourning Dove,
159,Bird,Ceryle alcyon,Belted Kingfisher,
160,Bird,Ceryle torquata,Ringed Kingfisher,
161,Bird,Coccyzus americanus,Yellow-Billed Cuckoo,
162,Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern
163,Bird,Falco columbarius,Merlin,Species of Concern
164,Bird,Falco peregrinus,Peregrine Falcon,Species of Concern
165,Bird,Falco sparverius,American Kestrel,
166,Bird,Colinus virginianus,Northern Bobwhite,
168,Bird,Bonasa umbellus,Ruffed Grouse,
169,Bird,Meleagris gallopavo,Wild Turkey,
170,Bird,Pavo cristatus,Peacock,
171,Bird,Phasianus colchicus,"Common Pheasant, Ring-Necked Pheasant",
173,Bird,Grus americana,Whooping Crane,Endangered
174,Bird,Grus canadensis,Sandhill Crane,
175,Bird,Fulica americana,American Coot,
176,Bird,Gallinula chloropus,Common Moorhen,
177,Bird,Porzana carolina,Sora,
178,Bird,Rallus elegans,King Rail,Species of Concern
179,Bird,Rallus limicola,Virginia Rail,
180,Bird,Eremophila alpestris,Horned Lark,
181,Bird,Bombycilla cedrorum,Cedar Waxwing,
182,Bird,Calcarius ornatus,Chestnut-Collared Longspur,
183,Bird,Plectrophenax nivalis,Snow Bunting,
184,Bird,Cardinalis cardinalis,Northern Cardinal,
185,Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern
186,Bird,Passerina cyanea,Indigo Bunting,
187,Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,
188,Bird,Piranga olivacea,Scarlet Tanager,
189,Bird,Piranga rubra,Summer Tanager,Species of Concern
190,Bird,Spiza americana,Dickcissel,
191,Bird,Certhia americana,Brown Creeper,Species of Concern
192,Bird,Certhia familiaris,Eurasian Treecreeper,
193,Bird,Corvus brachyrhynchos,American Crow,
194,Bird,Corvus corax,Common Raven,
195,Bird,Cyanocitta cristata,Blue Jay,
196,Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern
197,Bird,Ammodramus henslowii,Henslow's Sparrow,
198,Bird,Ammodramus leconteii,Le Conte's Sparrow,
199,Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern
200,Bird,Chondestes grammacus,Lark Sparrow,
201,Bird,Junco hyemalis,Dark-Eyed Junco,
202,Bird,Melospiza georgiana,Swamp Sparrow,
203,Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern
204,Bird,Melospiza melodia,Song Sparrow,
205,Bird,Passerculus sandwichensis,Savannah Sparrow,
207,Bird,Pipilo erythrophthalmus,"Eastern Towhee, Rufous-Sided Towhee",
208,Bird,Pooecetes gramineus,Vesper Sparrow,
209,Bird,Spizella arborea,American Tree Sparrow,
210,Bird,Spizella passerina,Chipping Sparrow,
211,Bird,Spizella pusilla,Field Sparrow,
212,Bird,Zonotrichia albicollis,White-Throated Sparrow,
213,Bird,Zonotrichia atricapilla,Golden-Crowned Sparrow,
214,Bird,Zonotrichia leucophrys,White-Crowned Sparrow,
215,Bird,Carduelis flammea,Common Redpoll,
216,Bird,Carduelis pinus,Pine Siskin,
217,Bird,Carduelis tristis,American Goldfinch,
218,Bird,Carpodacus mexicanus,House Finch,
219,Bird,Carpodacus purpureus,Purple Finch,
220,Bird,Coccothraustes vespertinus,Evening Grosbeak,
221,Bird,Loxia curvirostra,Red Crossbill,Species of Concern
222,Bird,Loxia leucoptera,White-Winged Crossbill,
223,Bird,Hirundo rustica,Barn Swallow,
225,Bird,Progne subis,Purple Martin,Species of Concern
227,Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,
228,Bird,Tachycineta bicolor,Tree Swallow,Species of Concern
229,Bird,Agelaius phoeniceus,Red-Winged Blackbird,
230,Bird,Dolichonyx oryzivorus,Bobolink,
231,Bird,Euphagus carolinus,Rusty Blackbird,
232,Bird,Icterus galbula,"Baltimore Oriole, Northern Oriole",
233,Bird,Icterus spurius,Orchard Oriole,
234,Bird,Molothrus ater,Brown-Headed Cowbird,
235,Bird,Quiscalus quiscula,Common Grackle,
236,Bird,Sturnella magna,Eastern Meadowlark,
237,Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,
238,Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern
241,Bird,Toxostoma rufum,Brown Thrasher,
243,Bird,Anthus spinoletta,Water Pipit,
244,Bird,Baeolophus bicolor,Tufted Titmouse,
245,Bird,Poecile atricapillus,Black-Capped Chickadee,
246,Bird,Poecile carolinensis,Carolina Chickadee,
247,Bird,Dendroica caerulescens,Black-Throated Blue Warbler,
248,Bird,Dendroica castanea,Bay-Breasted Warbler,
249,Bird,Dendroica cerulea,Cerulean Warbler,
250,Bird,Dendroica coronata,Yellow-Rumped Warbler,
251,Bird,Dendroica discolor,Prairie Warbler,
252,Bird,Dendroica dominica,Yellow-Throated Warbler,
253,Bird,Dendroica fusca,Blackburnian Warbler,
254,Bird,Dendroica magnolia,Magnolia Warbler,
255,Bird,Dendroica palmarum,Palm Warbler,
256,Bird,Dendroica pensylvanica,Chestnut-Sided Warbler,
257,Bird,Dendroica petechia,Yellow Warbler,
258,Bird,Dendroica pinus,Pine Warbler,
259,Bird,Dendroica striata,Blackpoll Warbler,
260,Bird,Dendroica tigrina,Cape May Warbler,
261,Bird,Dendroica virens,Black-Throated Green Warbler,
262,Bird,Geothlypis trichas,Common Yellowthroat,
263,Bird,Helmitheros vermivorus,Worm-Eating Warbler,
264,Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern
265,Bird,Limnothlypis swainsonii,Swainson's Warbler,
266,Bird,Mniotilta varia,Black-And-White Warbler,
267,Bird,Oporornis agilis,Connecticut Warbler,
268,Bird,Oporornis formosus,Kentucky Warbler,
269,Bird,Oporornis philadelphia,Mourning Warbler,
270,Bird,Parula americana,Northern Parula,
271,Bird,Protonotaria citrea,Prothonotary Warbler,
272,Bird,Seiurus aurocapilla,Ovenbird,
273,Bird,Seiurus motacilla,Louisiana Waterthrush,
274,Bird,Seiurus noveboracensis,Northern Waterthrush,
275,Bird,Setophaga ruticilla,American Redstart,
276,Bird,Vermivora bachmanii,"Bachman's Warbler, Bachman's Wood Warbler",Endangered
277,Bird,Vermivora celata,Orange-Crowned Warbler,
278,Bird,Vermivora chrysoptera X pinus,Brewster's Warbler,
279,Bird,Vermivora lawrencei,Lawrence's Warbler,
280,Bird,Vermivora lawrencii,Lawrence's Warbler,
281,Bird,Vermivora leucobronchialis,Brewster's Warbler,
282,Bird,Vermivora peregrina,Tennessee Warbler,
283,Bird,Vermivora pinus,Blue-Winged Warbler,
284,Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern
285,Bird,Wilsonia canadensis,Canada Warbler,
286,Bird,Wilsonia citrina,Hooded Warbler,
287,Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern
288,Bird,Passer domesticus,House Sparrow,
290,Bird,Regulus calendula,Ruby-Crowned Kinglet,
291,Bird,Regulus satrapa,Golden-Crowned Kinglet,
292,Bird,Sitta canadensis,Red-Breasted Nuthatch,
293,Bird,Sitta carolinensis,White-Breasted Nuthatch,
295,Bird,Cistothorus palustris,Marsh Wren,
